15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00256040.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00256135.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00256570.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00256970.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00257070.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00257515.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00257715.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00258133.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00258395.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00258465.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00258480.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00258915.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00259090.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00259510.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00331072.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00331152.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00331541.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00331592.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00331890.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00332098.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00332119.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00332791.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00333375.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00333758.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00333780.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00334189.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00335041.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00335297.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00335315.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00336118.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00336196.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00336600.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00336781.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00338313.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00338534.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00338552.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00338769.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00338822.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00338830.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Reading the file ../wx_data/USC00339312.txt in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Completed Reading all the files in the location ../wx_data/
15-Feb-23 16:32:42 - INFO - Total time elapsed for reading all the files is 1.3068692684173584
15-Feb-23 16:32:42 - INFO - Total entries are 1729957
15-Feb-23 16:32:42 - INFO - Dropping table weather_data from database
15-Feb-23 16:32:42 - INFO - Completed Dropping table weather_data from database
15-Feb-23 16:32:42 - INFO - Creating table weather_data in database
15-Feb-23 16:32:42 - INFO - Completed Creating table weather_data in database
15-Feb-23 16:32:42 - INFO - Started Ingesting data from populated data_frame to weather_data table
15-Feb-23 16:32:59 - INFO - Added 100000 records into the weather_data table
15-Feb-23 16:33:14 - INFO - Added 200000 records into the weather_data table
15-Feb-23 16:33:30 - INFO - Added 300000 records into the weather_data table
15-Feb-23 16:33:46 - INFO - Added 400000 records into the weather_data table
15-Feb-23 16:34:03 - INFO - Added 500000 records into the weather_data table
15-Feb-23 16:34:19 - INFO - Added 600000 records into the weather_data table
15-Feb-23 16:34:34 - INFO - Added 700000 records into the weather_data table
15-Feb-23 16:34:50 - INFO - Added 800000 records into the weather_data table
15-Feb-23 16:35:05 - INFO - Added 900000 records into the weather_data table
15-Feb-23 16:35:21 - INFO - Added 1000000 records into the weather_data table
15-Feb-23 16:35:37 - INFO - Added 1100000 records into the weather_data table
15-Feb-23 16:35:52 - INFO - Added 1200000 records into the weather_data table
15-Feb-23 16:36:08 - INFO - Added 1300000 records into the weather_data table
15-Feb-23 16:36:25 - INFO - Added 1400000 records into the weather_data table
15-Feb-23 16:36:41 - INFO - Added 1500000 records into the weather_data table
15-Feb-23 16:36:57 - INFO - Added 1600000 records into the weather_data table
15-Feb-23 16:37:13 - INFO - Added 1700000 records into the weather_data table
15-Feb-23 16:37:17 - INFO - Completed Ingesting data from populated data_frame to weather_data table
15-Feb-23 16:37:17 - INFO - Total 1729957 weather records were ingested into weather_data table
15-Feb-23 16:37:17 - INFO - Total time elapsed for ingesting all the data is 274.68271231651306
15-Feb-23 16:37:17 - INFO - Executing aggregation query in the database
15-Feb-23 16:37:19 - INFO - Completed Executing aggregation query in the database
15-Feb-23 16:37:19 - INFO - Dropping weather_data_stats from database
15-Feb-23 16:37:19 - INFO - Completed Dropping weather_data_stats from database
15-Feb-23 16:37:19 - INFO - Creating weather_data_stats table in database
15-Feb-23 16:37:19 - INFO - Completed creating weather_data_stats table in database
15-Feb-23 16:37:19 - INFO - Started Ingesting data to weather_data_stats table
15-Feb-23 16:37:19 - INFO - Completed Ingesting data to weather_data_stats table
15-Feb-23 16:37:19 - INFO - Total 4820 weather records were ingested into weather_data_stats table
15-Feb-23 16:37:19 - INFO - Total time elapsed for ingesting all the data is 0.357358455657959
15-Feb-23 16:37:19 - INFO - Process flow complete
15-Feb-23 16:37:19 - INFO - Total time elapsed for the entire process is 278.45623898506165
